cats,people
are,people
one,people
of,people
the,people
most,people
popular,people
pets,people
in,people
the,people
world,people
.,people
they,people
are,people
small,people
",",people
furry,people
animals,people
with,people
sharp,people
claws,people
and,people
soft,people
fur,people
.,people
many,people
people,people
love,people
cats,people
because,people
they,people
are,people
cute,people
and,people
independent,people
.,people
unlike,people
dogs,people
",",people
cats,people
do,people
not,people
always,people
need,people
attention,people
",",people
but,people
they,people
still,people
enjoy,people
spending,people
time,people
with,people
their,people
owners,people
.,people
cats,people
have,people
been,people
living,people
with,people
humans,people
for,people
thousands,people
of,people
years,people
.,people
ancient,people
egyptians,people
worshipped,people
cats,people
and,people
even,people
mummified,people
them,people
.,people
they,people
believed,people
cats,people
brought,people
good,people
luck,people
and,people
protected,people
their,people
homes,people
from,people
evil,people
spirits,people
.,people
in,people
some,people
cultures,people
",",people
cats,people
are,people
still,people
considered,people
symbols,people
of,people
good,people
fortune,people
.,people
cats,chasing
have,chasing
strong,chasing
bodies,chasing
and,chasing
sharp,chasing
senses,chasing
.,chasing
they,chasing
can,chasing
see,chasing
well,chasing
in,chasing
the,chasing
dark,chasing
",",chasing
which,chasing
helps,chasing
them,chasing
hunt,chasing
at,chasing
night,chasing
.,chasing
their,chasing
whiskers,chasing
help,chasing
them,chasing
sense,chasing
objects,chasing
around,chasing
them,chasing
.,chasing
a,chasing
cat,chasing
's,chasing
tail,chasing
helps,chasing
with,chasing
balance,chasing
",",chasing
making,chasing
them,chasing
great,chasing
climbers,chasing
.,chasing
cats,chasing
are,chasing
very,chasing
fast,chasing
and,chasing
can,chasing
jump,chasing
high,chasing
.,chasing
cats,communication
make,communication
different,communication
sounds,communication
to,communication
communicate,communication
.,communication
the,communication
most,communication
common,communication
sound,communication
a,communication
cat,communication
makes,communication
is,communication
called,communication
a,communication
meow,communication
.,communication
they,communication
also,communication
purr,communication
when,communication
they,communication
are,communication
happy,communication
.,communication
sometimes,communication
",",communication
they,communication
hiss,communication
if,communication
they,communication
feel,communication
scared,communication
or,communication
angry,communication
.,communication
cats,communication
also,communication
use,communication
their,communication
tails,communication
and,communication
body,communication
language,communication
to,communication
express,communication
their,communication
feelings,communication
.,communication
one,playing,chasing
of,playing,chasing
the,playing,chasing
most,playing,chasing
interesting,playing,chasing
things,playing,chasing
about,playing,chasing
cats,playing,chasing
is,playing,chasing
their,playing,chasing
love,playing,chasing
of,playing,chasing
sleeping,playing,chasing
.,playing,chasing
cats,playing,chasing
sleep,playing,chasing
for,playing,chasing
many,playing,chasing
hours,playing,chasing
each,playing,chasing
day,playing,chasing
",",playing,chasing
sometimes,playing,chasing
up,playing,chasing
to,playing,chasing
16,playing,chasing
hours,playing,chasing
.,playing,chasing
they,playing,chasing
like,playing,chasing
to,playing,chasing
sleep,playing,chasing
in,playing,chasing
warm,playing,chasing
places,playing,chasing
",",playing,chasing
such,playing,chasing
as,playing,chasing
on,playing,chasing
a,playing,chasing
sunny,playing,chasing
windowsill,playing,chasing
or,playing,chasing
a,playing,chasing
cozy,playing,chasing
blanket,playing,chasing
.,playing,chasing
even,playing,chasing
though,playing,chasing
they,playing,chasing
sleep,playing,chasing
a,playing,chasing
lot,playing,chasing
",",playing,chasing
cats,playing,chasing
are,playing,chasing
very,playing,chasing
active,playing,chasing
when,playing,chasing
they,playing,chasing
are,playing,chasing
awake,playing,chasing
.,playing,chasing
they,playing,chasing
love,playing,chasing
